sample;annotation
occa cola zero;[[0, 4, 'B-BRAND'], [5, 9, 'I-BRAND'], [10, 14, 'I-BRAND']]
coc-cola;[[0, 8, 'B-BRAND']]
ccocka;[[0, 6, 'B-BRAND']]
coffess;[[0, 7, 'B-BRAND']]
coffessso;[[0, 9, 'B-BRAND']]
cloag;[[0, 5, 'B-BRAND']]
cloai;[[0, 5, 'B-BRAND']]
coolgat;[[0, 7, 'B-BRAND']]
colgtae;[[0, 7, 'B-BRAND']]
colgonn;[[0, 7, 'B-BRAND']]
oclla;[[0, 5, 'B-BRAND']]
confeestry;[[0, 10, 'B-BRAND']]
connti;[[0, 6, 'B-BRAND']]
cooll cola;[[0, 5, 'B-BRAND'], [6, 10, 'I-BRAND']]
coolcla;[[0, 7, 'B-BRAND']]
corila;[[0, 6, 'B-BRAND']]
corrrado маринованн;[[0, 8, 'B-BRAND'], [9, 19, 'B-TYPE']]
corrrado маринованны;[[0, 8, 'B-BRAND'], [9, 20, 'B-TYPE']]
otanyi;[[0, 6, 'B-BRAND']]
cote;[[0, 4, 'B-BRAND']]
crinkels;[[0, 8, 'B-BRAND']]
crystalx стака;[[0, 8, 'B-BRAND'], [9, 14, 'B-TYPE']]
cup;[[0, 3, 'B-BRAND']]
crran;[[0, 5, 'B-BRAND']]
cuti;[[0, 4, 'B-BRAND']]
curtsi;[[0, 6, 'B-BRAND']]
curtsi толстов;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
cveeza;[[0, 6, 'B-BRAND']]
cyykoria кориц;[[0, 8, 'B-BRAND'], [9, 14, 'B-TYPE']]
cyykoria корице;[[0, 8, 'B-BRAND'], [9, 15, 'B-TYPE']]
daniissimo пас;[[0, 10, 'B-BRAND'], [11, 14, 'B-TYPE']]
daniissimo пасх;[[0, 10, 'B-BRAND'], [11, 15, 'B-TYPE']]
anke сов;[[0, 4, 'B-BRAND'], [5, 8, 'B-TYPE']]
anke совк;[[0, 4, 'B-BRAND'], [5, 9, 'B-TYPE']]
daonne му;[[0, 6, 'B-BRAND'], [7, 9, 'B-TYPE']]
daonne пасх;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
deee;[[0, 4, 'B-BRAND']]
defrot отверт;[[0, 6, 'B-BRAND'], [7, 13, 'B-TYPE']]
defrot отвертк;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
edli;[[0, 4, 'B-BRAND']]
dellic;[[0, 6, 'B-BRAND']]
ddelica;[[0, 7, 'B-BRAND']]
edlicad;[[0, 7, 'B-BRAND']]
deliacdo;[[0, 8, 'B-BRAND']]
edlicados;[[0, 9, 'B-BRAND']]
deilcato;[[0, 8, 'B-BRAND']]
edlice;[[0, 6, 'B-BRAND']]
deliik;[[0, 6, 'B-BRAND']]
deikai;[[0, 6, 'B-BRAND']]
deliakizer;[[0, 10, 'B-BRAND']]
edlikasier;[[0, 10, 'B-BRAND']]
delikayseer;[[0, 11, 'B-BRAND']]
delikese;[[0, 8, 'B-BRAND']]
demerta тор;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
demerta торт;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
den или;[[0, 3, 'B-BRAND'], [4, 7, 'O']]
deent;[[0, 5, 'B-BRAND']]
eonic;[[0, 5, 'B-BRAND']]
deonic кому-нибудь;[[0, 6, 'B-BRAND'], [7, 18, 'O']]
deonic тверд;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
didoo;[[0, 5, 'B-BRAND']]
diofl;[[0, 5, 'B-BRAND']]
dinog;[[0, 5, 'B-BRAND']]
ionica;[[0, 6, 'B-BRAND']]
dionkia;[[0, 7, 'B-BRAND']]
diorl;[[0, 5, 'B-BRAND']]
dobble;[[0, 6, 'B-BRAND']]
dlce;[[0, 4, 'B-BRAND']]
ddolch;[[0, 6, 'B-BRAND']]
domets;[[0, 6, 'B-BRAND']]
dommesti;[[0, 8, 'B-BRAND']]
domestos;[[0, 8, 'B-BRAND']]
doemsto;[[0, 7, 'B-BRAND']]
ddomestos;[[0, 9, 'B-BRAND']]
doona;[[0, 5, 'B-BRAND']]
doodmi;[[0, 6, 'B-BRAND']]
domix;[[0, 5, 'B-BRAND']]
douuble you;[[0, 7, 'B-BRAND'], [8, 11, 'I-BRAND']]
dovve;[[0, 5, 'B-BRAND']]
r.aktiv;[[0, 7, 'B-BRAND']]
dr.oekter ванильн;[[0, 9, 'B-BRAND'], [10, 17, 'B-TYPE']]
dr.oekter ванильный;[[0, 9, 'B-BRAND'], [10, 19, 'B-TYPE']]
dr.poper;[[0, 8, 'B-BRAND']]
dagon;[[0, 5, 'B-BRAND']]
dreamii;[[0, 7, 'B-BRAND']]
ddreamies;[[0, 9, 'B-BRAND']]
deeme;[[0, 5, 'B-BRAND']]
drei;[[0, 4, 'B-BRAND']]
rimis;[[0, 5, 'B-BRAND']]
driev оч;[[0, 5, 'B-BRAND'], [6, 8, 'B-TYPE']]
driev очк;[[0, 5, 'B-BRAND'], [6, 9, 'B-TYPE']]
rdummies;[[0, 8, 'B-BRAND']]
druex;[[0, 5, 'B-BRAND']]
earrl;[[0, 5, 'B-BRAND']]
eclipe;[[0, 6, 'B-BRAND']]
econvoa та;[[0, 7, 'B-BRAND'], [8, 10, 'B-TYPE']]
econvoa таз;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
geoist;[[0, 6, 'B-BRAND']]
ekoz;[[0, 4, 'B-BRAND']]
eloos;[[0, 5, 'B-BRAND']]
elev;[[0, 4, 'B-BRAND']]
eelseva;[[0, 7, 'B-BRAND']]
lvive;[[0, 5, 'B-BRAND']]
emadn;[[0, 5, 'B-BRAND']]
emanhof;[[0, 7, 'B-BRAND']]
eneergy зажигал;[[0, 7, 'B-BRAND'], [8, 15, 'B-TYPE']]
eneergy зажигалки;[[0, 7, 'B-BRAND'], [8, 17, 'B-TYPE']]
epicc;[[0, 5, 'B-BRAND']]
epoac;[[0, 5, 'B-BRAND']]
erhhmann;[[0, 8, 'B-BRAND']]
esap кому-нибудь;[[0, 4, 'B-BRAND'], [5, 16, 'O']]
esa пи;[[0, 3, 'B-BRAND'], [4, 6, 'B-TYPE']]
esa пив;[[0, 3, 'B-BRAND'], [4, 7, 'B-TYPE']]
essee;[[0, 5, 'B-BRAND']]
evvere;[[0, 6, 'B-BRAND']]
eevres;[[0, 6, 'B-BRAND']]
veress;[[0, 6, 'B-BRAND']]
evreest;[[0, 7, 'B-BRAND']]
verve;[[0, 5, 'B-BRAND']]
everevsse;[[0, 9, 'B-BRAND']]
everevst;[[0, 8, 'B-BRAND']]
evtiest;[[0, 7, 'B-BRAND']]
expoo;[[0, 5, 'B-BRAND']]
expomneta;[[0, 9, 'B-BRAND']]
exppon;[[0, 6, 'B-BRAND']]
exponentta;[[0, 10, 'B-BRAND']]
eexponento;[[0, 10, 'B-BRAND']]
expont;[[0, 6, 'B-BRAND']]
eexponwnta;[[0, 10, 'B-BRAND']]
exx брит;[[0, 3, 'B-BRAND'], [4, 8, 'B-TYPE']]
exx бритв;[[0, 3, 'B-BRAND'], [4, 9, 'B-TYPE']]
eхponent;[[0, 8, 'B-BRAND']]
fackelman хлебни;[[0, 9, 'B-BRAND'], [10, 16, 'B-TYPE']]
fackelman хлебниц;[[0, 9, 'B-BRAND'], [10, 17, 'B-TYPE']]
faryǰ;[[0, 5, 'B-BRAND']]
aity;[[0, 4, 'B-BRAND']]
fari;[[0, 4, 'B-BRAND']]
fay;[[0, 3, 'B-BRAND']]
afyry;[[0, 5, 'B-BRAND']]
fazzer лепеш;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
fazzer лепешка;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
fder;[[0, 4, 'B-BRAND']]
fell;[[0, 4, 'B-BRAND']]
feeli;[[0, 5, 'B-BRAND']]
elic;[[0, 4, 'B-BRAND']]
feliix в соусе;[[0, 6, 'B-BRAND'], [7, 8, 'O'], [9, 14, 'O']]
feliex;[[0, 6, 'B-BRAND']]
elixp;[[0, 5, 'B-BRAND']]
felx;[[0, 4, 'B-BRAND']]
fenkis+ пен;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
fenkis+ пена;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
fer;[[0, 3, 'B-BRAND']]
fferre;[[0, 6, 'B-BRAND']]
errero дра;[[0, 6, 'B-BRAND'], [7, 10, 'B-TYPE']]
errero драж;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
filaco сам;[[0, 6, 'B-BRAND'], [7, 10, 'O']]
filaco тарел;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
iflippo;[[0, 7, 'B-BRAND']]
finni;[[0, 5, 'B-BRAND']]
finihs;[[0, 6, 'B-BRAND']]
finihs капсу;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
fiito х;[[0, 5, 'B-BRAND'], [6, 7, 'B-TYPE']]
fiito хн;[[0, 5, 'B-BRAND'], [6, 8, 'B-TYPE']]
flaemn;[[0, 6, 'B-BRAND']]
flameenko;[[0, 9, 'B-BRAND']]
fls;[[0, 3, 'B-BRAND']]
flsh;[[0, 4, 'B-BRAND']]
flasph;[[0, 6, 'B-BRAND']]
latel тебе;[[0, 5, 'B-BRAND'], [6, 10, 'O']]
flceh;[[0, 5, 'B-BRAND']]
lex;[[0, 3, 'B-BRAND']]
frotuna;[[0, 7, 'B-BRAND']]
ffox;[[0, 4, 'B-BRAND']]
farnde;[[0, 6, 'B-BRAND']]
rfash;[[0, 5, 'B-BRAND']]
frresco же;[[0, 7, 'B-BRAND'], [8, 10, 'B-TYPE']]
frresco жел;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
rfesh bar;[[0, 5, 'B-BRAND'], [6, 9, 'I-BRAND']]
rfesh bar jelly;[[0, 5, 'B-BRAND'], [6, 9, 'I-BRAND'], [10, 15, 'I-BRAND']]
frresko;[[0, 7, 'B-BRAND']]
frio недалеко;[[0, 4, 'B-BRAND'], [5, 13, 'O']]
frio хочу;[[0, 4, 'B-BRAND'], [5, 9, 'O']]
frlx;[[0, 4, 'B-BRAND']]
fruitela;[[0, 8, 'B-BRAND']]
rfuittel;[[0, 8, 'B-BRAND']]
ffruittella;[[0, 11, 'B-BRAND']]
ffruittella дра;[[0, 11, 'B-BRAND'], [12, 15, 'B-TYPE']]
fursty;[[0, 6, 'B-BRAND']]
fruetes;[[0, 7, 'B-BRAND']]
fruttt;[[0, 6, 'B-BRAND']]
frruttis;[[0, 8, 'B-BRAND']]
fusioon;[[0, 7, 'B-BRAND']]
ggal;[[0, 4, 'B-BRAND']]
aglaktika или;[[0, 9, 'B-BRAND'], [10, 13, 'O']]
aglba;[[0, 5, 'B-BRAND']]
glabani;[[0, 7, 'B-BRAND']]
ggalli;[[0, 6, 'B-BRAND']]
galin;[[0, 5, 'B-BRAND']]
garadr;[[0, 6, 'B-BRAND']]
gardenvisin сажен;[[0, 11, 'B-BRAND'], [12, 17, 'B-TYPE']]
gardenvisin саженец;[[0, 11, 'B-BRAND'], [12, 19, 'B-TYPE']]
gardxi;[[0, 6, 'B-BRAND']]
galing конь;[[0, 6, 'B-BRAND'], [7, 11, 'B-TYPE']]
galing конья;[[0, 6, 'B-BRAND'], [7, 12, 'B-TYPE']]
granec;[[0, 6, 'B-BRAND']]
gauod;[[0, 5, 'B-BRAND']]
geerb;[[0, 5, 'B-BRAND']]
gerbber;[[0, 7, 'B-BRAND']]
gileete;[[0, 7, 'B-BRAND']]
gilet;[[0, 5, 'B-BRAND']]
gilleet;[[0, 7, 'B-BRAND']]
gillete спр;[[0, 7, 'B-BRAND'], [8, 11, 'B-TYPE']]
gillete спре;[[0, 7, 'B-BRAND'], [8, 12, 'B-TYPE']]
glacee;[[0, 6, 'B-BRAND']]
gllade;[[0, 6, 'B-BRAND']]
gllade диффузо;[[0, 6, 'B-BRAND'], [7, 14, 'B-TYPE']]
gliabl;[[0, 6, 'B-BRAND']]
gl;[[0, 2, 'B-BRAND']]
gloob;[[0, 5, 'B-BRAND']]
glbal village летняя ягода;[[0, 5, 'B-BRAND'], [6, 13, 'I-BRAND'], [14, 20, 'B-TYPE'], [21, 26, 'I-TYPE']]
glbal villedge летняя;[[0, 5, 'B-BRAND'], [6, 14, 'I-BRAND'], [15, 21, 'O']]
ggloos;[[0, 6, 'B-BRAND']]
gllori;[[0, 6, 'B-BRAND']]
gool;[[0, 4, 'B-BRAND']]
goolden;[[0, 7, 'B-BRAND']]
goodiix;[[0, 7, 'B-BRAND']]
goodmisk;[[0, 8, 'B-BRAND']]
goondix;[[0, 7, 'B-BRAND']]
googm;[[0, 5, 'B-BRAND']]
gooril;[[0, 6, 'B-BRAND']]
ogrill;[[0, 6, 'B-BRAND']]
gorila;[[0, 6, 'B-BRAND']]
ggourme;[[0, 7, 'B-BRAND']]
rganbe;[[0, 6, 'B-BRAND']]
grandlbue;[[0, 9, 'B-BRAND']]
grade;[[0, 5, 'B-BRAND']]
gran;[[0, 4, 'B-BRAND']]
ggrange;[[0, 7, 'B-BRAND']]
garnte;[[0, 6, 'B-BRAND']]
grss ополаскивате;[[0, 4, 'B-BRAND'], [5, 17, 'B-TYPE']]
grss ополаскивател;[[0, 4, 'B-BRAND'], [5, 18, 'B-TYPE']]
grass;[[0, 5, 'B-BRAND']]
gay;[[0, 3, 'B-BRAND']]
greenefld;[[0, 9, 'B-BRAND']]
greeenfi;[[0, 8, 'B-BRAND']]
greenfieel;[[0, 10, 'B-BRAND']]
reenfield;[[0, 9, 'B-BRAND']]
greenfiiedl;[[0, 11, 'B-BRAND']]
greeniled;[[0, 9, 'B-BRAND']]
greenflned;[[0, 10, 'B-BRAND']]
grenetek сажен;[[0, 8, 'B-BRAND'], [9, 14, 'B-TYPE']]
